filename,source_filename,original_format,arkid,family,source,owner,standardized_species,adipose_fin,pelvic_fin,barbel,multiple_dorsal_fin,original_url,license,file_name
INHS_FISH_48507.jpg,INHS_FISH_48507.jpg,jpg,tb32dh83,Cyprinidae,GLIN,INHS,phenacobius mirabilis,0,1,1.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/tb32dh83.jpg,CC BY-NC,Images/chunk_2/INHS_FISH_48507.jpg
OSUM0005745_1.jpg,OSUM0005745.JPG,jpg,sg46jm52,Cyprinidae,GLIN,OSUM,phenacobius uranops,0,1,1.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/OSUM/sg46jm52.jpg,CC0 1.0,Images/chunk_2/OSUM0005745_1.jpg
INHS_FISH_33088.jpg,INHS_FISH_33088.jpg,jpg,3m99vd20,Centrarchidae,GLIN,INHS,lepomis megalotis,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/3m99vd20.jpg,CC BY-NC,Images/chunk_2/INHS_FISH_33088.jpg
JFBM-FISH-0022382.jpg,JFBM-FISH-0022382.jpg,jpg,7s78bc9j,Cyprinidae,GLIN,JFBM,notropis texanus,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/JFBM/7s78bc9j.jpg,CC0 1.0,Images/chunk_2/JFBM-FISH-0022382.jpg
INHS_FISH_1833.jpg,INHS_FISH_1833.jpg,jpg,d565dj7v,Cyprinidae,GLIN,INHS,notropis stramineus,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/d565dj7v.jpg,CC BY-NC,Images/chunk_1/INHS_FISH_1833.jpg
UWZM-F-0002214.JPG,UWZM-F-0002214.JPG,jpg,c552144m,Cyprinidae,GLIN,UWZM,notropis blennius,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/UWZM/c552144m.jpg,CC0 1.0,Images/chunk_2/UWZM-F-0002214.JPG
JFBM-FISH-0018965.jpg,JFBM-FISH-0018965.jpg,jpg,r347x63k,Cyprinidae,GLIN,JFBM,notropis topeka,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/JFBM/r347x63k.jpg,CC0 1.0,Images/chunk_2/JFBM-FISH-0018965.jpg
INHS_FISH_105321.jpg,INHS_FISH_105321.jpg,jpg,c0221k4x,Centrarchidae,GLIN,INHS,lepomis macrochirus,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/c0221k4x.jpg,CC BY-NC,Images/chunk_2/INHS_FISH_105321.jpg
JFBM-FISH-0030609.jpg,JFBM-FISH-0030609.jpg,jpg,3g919j5x,Esocidae,GLIN,JFBM,esox lucius,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/JFBM/3g919j5x.jpg,CC0 1.0,Images/chunk_2/JFBM-FISH-0030609.jpg
INHS_FISH_29366.jpg,INHS_FISH_29366.jpg,jpg,g0110p6t,Centrarchidae,GLIN,INHS,lepomis cyanellus,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/g0110p6t.jpg,CC BY-NC,Images/chunk_2/INHS_FISH_29366.jpg
INHS_FISH_14411.jpg,INHS_FISH_14411.jpg,jpg,4045nb00,Cyprinidae,GLIN,INHS,notropis hudsonius,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/4045nb00.jpg,CC BY-NC,Images/chunk_4/INHS_FISH_14411.jpg
JFBM-FISH-0009319#0.jpg,JFBM-FISH-0009319.jpg,jpg,gm26w605,Cyprinidae,GLIN,JFBM,notropis hudsonius,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/JFBM/gm26w605.jpg,CC0 1.0,Images/chunk_4/JFBM-FISH-0009319#0.jpg
INHS_FISH_97238.jpg,INHS_FISH_97238.jpg,jpg,k088dm98,Cyprinidae,GLIN,INHS,notropis stramineus,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/k088dm98.jpg,CC BY-NC,Images/chunk_1/INHS_FISH_97238.jpg
JFBM-FISH-0040564.jpg,JFBM-FISH-0040564.jpg,jpg,8c16d40x,Cyprinidae,GLIN,JFBM,notropis telescopus,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/JFBM/8c16d40x.jpg,CC0 1.0,Images/chunk_4/JFBM-FISH-0040564.jpg
INHS_FISH_55953.jpg,INHS_FISH_55953.jpg,jpg,s662pm34,Poeciliidae,GLIN,INHS,gambusia affinis,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/s662pm34.jpg,CC BY-NC,Images/chunk_4/INHS_FISH_55953.jpg
INHS_FISH_89731.jpg,INHS_FISH_89731.jpg,jpg,jz08cw9z,Cyprinidae,GLIN,INHS,hybopsis dorsalis,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/jz08cw9z.jpg,CC BY-NC,Images/chunk_3/INHS_FISH_89731.jpg
JFBM-FISH-0036790.jpg,JFBM-FISH-0036790.jpg,jpg,pp35751k,Centrarchidae,GLIN,JFBM,lepomis humilis,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/JFBM/pp35751k.jpg,CC0 1.0,Images/chunk_3/JFBM-FISH-0036790.jpg
INHS_FISH_30823.jpg,INHS_FISH_30823.jpg,jpg,bw51wb2x,Cyprinidae,GLIN,INHS,notropis boops,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/bw51wb2x.jpg,CC BY-NC,Images/chunk_2/INHS_FISH_30823.jpg
JFBM-FISH-0023836.jpg,JFBM-FISH-0023836.jpg,jpg,dw96400k,Cyprinidae,GLIN,JFBM,notropis heterolepis,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/JFBM/dw96400k.jpg,CC0 1.0,Images/chunk_3/JFBM-FISH-0023836.jpg
JFBM-FISH-0034980.jpg,JFBM-FISH-0034980.jpg,jpg,7k77c82n,Centrarchidae,GLIN,JFBM,lepomis humilis,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/JFBM/7k77c82n.jpg,CC0 1.0,Images/chunk_4/JFBM-FISH-0034980.jpg
UWZM-F-0004311.JPG,UWZM-F-0004311.JPG,jpg,cc080807,Cottidae,GLIN,UWZM,cottus bairdii,0,1,0.0,1,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/UWZM/cc080807.jpg,CC0 1.0,Images/chunk_1/UWZM-F-0004311.JPG
INHS_FISH_68579.jpg,INHS_FISH_68579.jpg,jpg,vx43980v,Centrarchidae,GLIN,INHS,lepomis megalotis,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/vx43980v.jpg,CC BY-NC,Images/chunk_2/INHS_FISH_68579.jpg
JFBM-FISH-0028167.jpg,JFBM-FISH-0028167.jpg,jpg,cj040h5m,Cyprinidae,GLIN,JFBM,notropis texanus,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/JFBM/cj040h5m.jpg,CC0 1.0,Images/chunk_1/JFBM-FISH-0028167.jpg
INHS_FISH_77032.jpg,INHS_FISH_77032.jpg,jpg,h681ps1s,Centrarchidae,GLIN,INHS,lepomis cyanellus,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/h681ps1s.jpg,CC BY-NC,Images/chunk_1/INHS_FISH_77032.jpg
INHS_FISH_95166.jpg,INHS_FISH_95166.jpg,jpg,sh764d17,Cyprinidae,GLIN,INHS,notropis hudsonius,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/sh764d17.jpg,CC BY-NC,Images/chunk_1/INHS_FISH_95166.jpg
INHS_FISH_50873.jpg,INHS_FISH_50873.jpg,jpg,p814fv6b,Cyprinidae,GLIN,INHS,phenacobius mirabilis,0,1,1.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/p814fv6b.jpg,CC BY-NC,Images/chunk_4/INHS_FISH_50873.jpg
UWZM-F-0001636.JPG,UWZM-F-0001636.JPG,jpg,b462ss3q,Centrarchidae,GLIN,UWZM,lepomis macrochirus,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/UWZM/b462ss3q.jpg,CC0 1.0,Images/chunk_2/UWZM-F-0001636.JPG
INHS_FISH_64235.jpg,INHS_FISH_64235.jpg,jpg,hr33d78r,Cyprinidae,GLIN,INHS,notropis longirostris,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/hr33d78r.jpg,CC BY-NC,Images/chunk_1/INHS_FISH_64235.jpg
INHS_FISH_3021.jpg,INHS_FISH_3021.jpg,jpg,jj47jx0h,Cyprinidae,GLIN,INHS,phenacobius mirabilis,0,1,1.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/jj47jx0h.jpg,CC BY-NC,Images/chunk_3/INHS_FISH_3021.jpg
INHS_FISH_92004.jpg,INHS_FISH_92004.jpg,jpg,f842t26t,Cyprinidae,GLIN,INHS,phenacobius mirabilis,0,1,1.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/f842t26t.jpg,CC BY-NC,Images/chunk_1/INHS_FISH_92004.jpg
INHS_FISH_32444.jpg,INHS_FISH_32444.jpg,jpg,cg14rt96,Centrarchidae,GLIN,INHS,lepomis cyanellus,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/cg14rt96.jpg,CC BY-NC,Images/chunk_3/INHS_FISH_32444.jpg
INHS_FISH_107771.jpg,INHS_FISH_107771.jpg,jpg,r974bx8k,Cyprinidae,GLIN,INHS,notropis blennius,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/INHS/r974bx8k.jpg,CC BY-NC,Images/chunk_4/INHS_FISH_107771.jpg
UWZM-F-0003319.JPG,UWZM-F-0003319.JPG,jpg,3w44ww9d,Cyprinidae,GLIN,UWZM,notropis wickliffi,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/UWZM/3w44ww9d.jpg,CC0 1.0,Images/chunk_1/UWZM-F-0003319.JPG
UWZM-F-0000994.JPG,UWZM-F-0000994.JPG,jpg,sv83jw96,Centrarchidae,GLIN,UWZM,lepomis cyanellus,0,1,0.0,0,https://fishair.org/hdr-share/ftp/ark/89609/GLIN/UWZM/sv83jw96.jpg,CC0 1.0,Images/chunk_3/UWZM-F-0000994.JPG
